,place,properties,finishing_level,area,bathrooms,bedrooms,price
74,"Maadi,Maadi Sarayat",Duplexes,Semi Furnished,220 Sqm,3 Bathrooms,3 Bedrooms,"4,000,000 Egp"
75,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,350 Sqm,4 Bathrooms,5 Bedrooms,"5,500,000 Egp"
76,"Maadi,Maadi Sarayat",Ground Floors,Unfurnished ,250 Sqm,3 Bathrooms,3 Bedrooms,"4,850,000 Egp"
77,"Maadi,Maadi Cornishe",Apartments,Semi Furnished,160 Sqm,2 Bathrooms,2 Bedrooms,"1,800,000 Egp"
78,"New Cairo,Swan Lake",Penthouses,Finished ,202 Sqm,0 Bathrooms,3 Bedrooms,"8,946,351 Egp"
79,"New Cairo,Swan Lake",Apartments,Finished ,173 Sqm,0 Bathrooms,3 Bedrooms,"6,042,349 Egp"
80,"New Cairo,Swan Lake",Apartments,Finished ,127 Sqm,0 Bathrooms,2 Bedrooms,"4,689,554 Egp"
81,"New Cairo,Swan Lake",Apartments,Finished ,93 Sqm,0 Bathrooms,2 Bedrooms,"3,597,826 Egp"
82,"Maadi,Maadi Sarayat",Duplexes,Modern Furnished,360 Sqm,3 Bathrooms,4 Bedrooms,"6,500,000 Egp"
83,"Mostakbal City,Haptown",Villas,Not Finished,347 Sqm,0 Bathrooms,5 Bedrooms,"14,600,000 Egp"
84,"Mostakbal City,Haptown",Villas,Not Finished,299 Sqm,0 Bathrooms,4 Bedrooms,"13,000,000 Egp"
85,"Mostakbal City,Haptown",Villas,Not Finished,244 Sqm,0 Bathrooms,4 Bedrooms,"11,650,000 Egp"
86,"Mostakbal City,Haptown",Twin Houses,Not Finished,223 Sqm,0 Bathrooms,4 Bedrooms,"8,130,000 Egp"
87,"Mostakbal City,Haptown",Twin Houses,Not Finished,196 Sqm,0 Bathrooms,4 Bedrooms,"7,420,000 Egp"
88,"Mostakbal City,Haptown",Twin Houses,Not Finished,165 Sqm,4 Bathrooms,3 Bedrooms,"5,200,000 Egp"
89,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,220 Sqm,2 Bathrooms,3 Bedrooms,"3,000,000 Egp"
90,"Maadi,Maadi Degla",Penthouses,Modern Furnished,200 Sqm,2 Bathrooms,2 Bedrooms,"2,800,000 Egp"
91,"Maadi,Maadi Degla",Twin Houses,Semi Furnished,350 Sqm,3 Bathrooms,4 Bedrooms,"9,000,000 Egp"
92,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,400 Sqm,6 Bathrooms,4 Bedrooms,"8,500,000 Egp"
93,"Maadi,Maadi Sarayat",Duplexes,Furnished ,300 Sqm,4 Bathrooms,3 Bedrooms,"6,500,000 Egp"
94,"Maadi,Maadi Sarayat",Apartments,Furnished ,230 Sqm,3 Bathrooms,3 Bedrooms,"3,200,000 Egp"
