,place,properties,finishing_level,area,bathrooms,bedrooms,price
142,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,450 Sqm,4 Bathrooms,4 Bedrooms,"10,000,000 Egp"
143,"Katameya,Katameya Heights",Villas,Semi Furnished,900 Sqm,6 Bathrooms,5 Bedrooms,"31,000,000 Egp"
144,"New Cairo,Katameya Dunes",Villas,Semi Finished,850 Sqm,6 Bathrooms,6 Bedrooms,"18,000,000 Egp"
145,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,315 Sqm,4 Bathrooms,5 Bedrooms,"5,000,000 Egp"
146,"Maadi,Maadi Degla",Apartments,Modern Furnished,126 Sqm,2 Bathrooms,2 Bedrooms,"1,500,000 Egp"
147,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,500 Sqm,4 Bathrooms,4 Bedrooms,"8,300,000 Egp"
148,"Maadi,Maadi Sarayat",Apartments,Modern Furnished,150 Sqm,1 Bathrooms,2 Bedrooms,"1,800,000 Egp"
149,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,280 Sqm,4 Bathrooms,4 Bedrooms,"3,800,000 Egp"
150,"Maadi,Maadi Degla",Apartments,Semi Furnished,330 Sqm,3 Bathrooms,3 Bedrooms,"4,200,000 Egp"
151,"Maadi,Maadi Sarayat",Ground Floors,Modern Furnished,350 Sqm,4 Bathrooms,3 Bedrooms,"7,000,000 Egp"
152,"Maadi,Maadi Sarayat",Ground Floors,Unfurnished ,180 Sqm,2 Bathrooms,3 Bedrooms,"3,500,000 Egp"
153,"Maadi,Maadi Degla",Apartments,Semi Furnished,250 Sqm,3 Bathrooms,3 Bedrooms,"4,500,000 Egp"
154,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,579 Sqm,4 Bathrooms,4 Bedrooms,"8,000,000 Egp"
155,"Maadi,Maadi Sarayat",Apartments,Furnished ,420 Sqm,3 Bathrooms,4 Bedrooms,"6,000,000 Egp"
156,"Maadi,Maadi Degla",Ground Floors,Finished ,300 Sqm,3 Bathrooms,4 Bedrooms,"5,000,000 Egp"
157,"Maadi,Maadi Sarayat",Ground Floors,Semi Furnished,340 Sqm,4 Bathrooms,4 Bedrooms,"4,000,000 Egp"
158,"Maadi,Maadi Degla",Apartments,Furnished ,300 Sqm,3 Bathrooms,4 Bedrooms,"4,500,000 Egp"
159,"Maadi,Maadi Degla",Ground Floors,Finished ,300 Sqm,2 Bathrooms,2 Bedrooms,"3,200,000 Egp"
160,"Maadi,Maadi Degla",Ground Floors,Finished ,380 Sqm,3 Bathrooms,3 Bedrooms,"8,750,000 Egp"
161,"Maadi,Maadi Sarayat",Apartments,Furnished ,265 Sqm,3 Bathrooms,3 Bedrooms,"4,500,000 Egp"
162,"Maadi,Maadi Sarayat",Duplexes,Modern Furnished,380 Sqm,4 Bathrooms,3 Bedrooms,"7,000,000 Egp"
163,"Maadi,Maadi Sarayat",Apartments,Furnished ,190 Sqm,2 Bathrooms,3 Bedrooms,"3,500,000 Egp"
164,"Maadi,Maadi Sarayat",Duplexes,Finished ,400 Sqm,4 Bathrooms,4 Bedrooms,"7,000,000 Egp"
165,"Maadi,Maadi Sarayat",Ground Floors,Finished ,350 Sqm,3 Bathrooms,4 Bedrooms,"5,000,000 Egp"
166,"New Cairo,West Golf",Duplexes,Not Finished,450 Sqm,4 Bathrooms,3 Bedrooms,"4,500,000 Egp"
167,"New Cairo,West Golf",Penthouses,Not Finished,247 Sqm,3 Bathrooms,3 Bedrooms,"3,200,000 Egp"
168,"New Cairo,West Golf",Apartments,Not Finished,220 Sqm,3 Bathrooms,3 Bedrooms,"3,500,000 Egp"
169,"New Cairo,West Golf",Duplexes,Not Finished,450 Sqm,4 Bathrooms,4 Bedrooms,"4,500,000 Egp"
170,"New Cairo,West Golf",Duplexes,Not Finished,350 Sqm,4 Bathrooms,3 Bedrooms,"3,900,000 Egp"
171,"New Cairo,90 Street",Office Spaces,Semi Finished,14000 Sqm,0 Bathrooms,0 Bedrooms,"150,000 Egp"
172,"New Cairo,90 Street",Office Spaces,Semi Finished,11800 Sqm,0 Bathrooms,0 Bedrooms,"400,000,000 Egp"
173,"Maadi,Maadi Degla",Apartments,Furnished ,129 Sqm,2 Bathrooms,3 Bedrooms,"1,600,000 Egp"
174,"Maadi,Maadi Degla",Duplexes,Semi Furnished,500 Sqm,3 Bathrooms,4 Bedrooms,"5,500,000 Egp"
175,"Maadi,Maadi Degla",Apartments,Furnished ,340 Sqm,4 Bathrooms,4 Bedrooms,"5,000,000 Egp"
176,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,880 Sqm,4 Bathrooms,5 Bedrooms,"13,000,000 Egp"
177,"Maadi,Maadi Cornishe",Duplexes,Semi Furnished,450 Sqm,4 Bathrooms,5 Bedrooms,"9,000,000 Egp"
178,"Maadi,Maadi Sarayat",Apartments,Furnished ,120 Sqm,2 Bathrooms,2 Bedrooms,"9,000 Egp"
179,"Maadi,Maadi Sarayat",Apartments,Finished ,230 Sqm,3 Bathrooms,3 Bedrooms,"4,000,000 Egp"
180,"Maadi,Maadi Cornishe",Apartments,Finished ,162 Sqm,2 Bathrooms,3 Bedrooms,"4,500,000 Egp"
181,"Maadi,Maadi Sarayat",Apartments,Furnished ,350 Sqm,4 Bathrooms,4 Bedrooms,"7,500,000 Egp"
182,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,330 Sqm,3 Bathrooms,4 Bedrooms,"5,500,000 Egp"
183,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,365 Sqm,3 Bathrooms,4 Bedrooms,"7,000,000 Egp"
184,"Maadi,Maadi Sarayat",Apartments,Furnished ,280 Sqm,2 Bathrooms,3 Bedrooms,"3,000,000 Egp"
185,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,200 Sqm,1 Bathrooms,2 Bedrooms,"2,000,000 Egp"
186,"New Cairo,Sodic East",Apartments,Finished ,155 Sqm,2 Bathrooms,3 Bedrooms,"2,250,000 Egp"
187,"Katameya,Katameya Heights",Villas,Semi Furnished,700 Sqm,5 Bathrooms,5 Bedrooms,"28,000,000 Egp"
188,"New Cairo,El Patio 1",Villas,Semi Furnished,480 Sqm,3 Bathrooms,5 Bedrooms,"12,000,000 Egp"
189,"Katameya,Arabella",Villas,Furnished ,1016 Sqm,4 Bathrooms,5 Bedrooms,"22,000,000 Egp"
